,vaccination_rate
457,0.0025610091464189147
458,0.0018886240762056162
459,0.0038141025332424517
460,0.0059877407338747085
461,0.007006494769914531
462,0.006900153290819949
463,0.006500428424770736
464,0.0027725367019935956
465,0.003434138014471714
466,0.005186676400686813
467,0.006701883239603765
468,0.006340508852642987
469,0.005827406401834068
470,0.00579546988854142
471,0.00272178786408051
472,0.003837255024094218
473,0.004799379519170315
474,0.005466209769121672
475,0.006226020303830893
476,0.006320392996867748
477,0.00825003386588753
478,0.003734898202734201
479,0.004932013814171413
480,0.0057471947972516525
481,0.0063318729587424245
482,0.006430200683805781
483,0.006457678528034845
484,0.006204334285528279
485,0.0030562176695573704
486,0.0028965943545102586
487,0.005015113925290037
488,0.005169967501338897
489,0.005593941009438232
490,0.005747846562829053
491,0.007012079215884534
492,0.00385046808989062
493,0.00453374060781732
494,0.004643563107609386
495,0.004684683590401775
496,0.004562921930260046
497,0.004550390255749109
498,0.004744942280603301
499,0.002682918935100961
500,0.003494767026024037
501,0.0034168217881084925
502,0.003478561763713203
503,0.0033071177911486826
504,0.0030466633787068335
505,0.003501210617527887
506,0.001620644733915592
507,0.0005825154848021228
508,0.0037161747552379547
509,0.0024883817231008015
510,0.002633918013963633
511,0.002588842499144743
512,0.0029552384436223145
513,0.0018302021799040378
514,0.0020444108620584814
515,0.002232119348349963
516,0.0026033442832419144
517,0.0028598584765112942
518,0.0026289557078629667
519,0.0029064152767333687
520,0.0016503000676873366
521,0.0021895472058624534
522,0.0022682330864795897
523,0.0025400637708178925
524,0.0025991670584049357
525,0.0026488197451196645
526,0.0031321187336165205
527,0.0015941593509066615
528,0.0018569393814315098
529,0.0023445192847435675
530,0.0027501692924055163
531,0.0029906115390503493
532,0.002996847750597754
533,0.003336062107926899
534,0.0019090510019155243
535,0.002126533324811005
536,0.0023890022854011843
537,0.0027157590324895513
538,0.0027892159756334476
539,0.002804680595242689
540,0.0030201335571358075
541,0.0017472650101797635
542,0.0022061672280861786
543,0.0022463693139285934
544,0.002535560663192213
545,0.002665099071700657
546,0.0025344200734317614
547,0.003140532434706606
548,0.0017485685413345655
549,0.001869263675986001
550,0.0021146978544395643
551,0.0024540307146009637
552,0.0025580613884665787
553,0.0024938328533845185
554,0.0031637738026825636
555,0.001808205091666755
556,0.002029775762275023
557,0.0022388591969344502
558,0.0025738963294266158
559,0.0028523483595171515
560,0.0025416635590533314
561,0.00295640865909083
562,0.0018720929311060825
563,0.00204995086946639
564,0.0021608250818947153
565,0.0025066755978301243
566,0.0025931234139599446
567,0.0024795532620978246
568,0.0028867438065790845
569,0.0017235051923126916
570,0.0019446759158621002
571,0.0019356845134647733
572,0.0023953125612187483
573,0.002146915811958817
574,0.0019472385396096087
575,0.0019803008298086766
576,0.0011767331242893996
577,0.0009872470955140974
578,0.0017686843971098049
579,0.0016795554544002213
580,0.001768284450050945
581,0.0016381535273812275
582,0.001904236824355176
583,0.0010841972251524929
584,0.0011852505153577078
585,0.0012716538929254328
586,0.0013029386406406796
587,0.0014324326105870282
588,0.0013599829415172969
589,0.0014525336535082356
590,0.0007793783148852814
591,0.0008984440355932144
592,0.0009883876852745492
593,0.0009375055316751776
594,0.0009476227109789245
595,0.0008944593778586493
596,0.0010738874787463318
597,0.0005207755091974121
598,0.0006864572815435467
599,0.0006429667421060635
600,0.0006524617815404731
601,0.0006604755355716987
602,0.0006630085336111434
603,0.0006979520562722549
604,0.0003783054791191714
605,0.0004914460582143682
606,0.0004967046213956715
607,0.000505014632507534
608,0.0005104361370831875
609,0.0005079179518977747
610,0.0005094288630090225
611,0.000318950373013587
612,0.00043456469873210117
613,0.00042323286539774327
614,0.0004232921168138706
615,0.0004244771451364179
616,0.0004305800409975361
617,0.0004958899144239204
618,0.0002881248237733272
619,0.0003500573664804518
620,0.0003991471647419708
621,0.0004366977497126862
622,0.000414626597205244
623,0.000435971919865126
624,0.0004959787915481113
625,0.00025574392485972413
626,0.0003492722852167643
627,0.00048537278806131366
628,0.0003905408965494716
629,0.00039739924796621364
630,0.0003876523900132627
631,0.00044798514448494856
632,0.00026784602660373774
633,0.00031767646756684876
634,0.00034115484120731575
635,0.0003196169514450198
636,0.00035140533619734926
637,0.0003300155749753718
638,0.0003762613052627774
639,0.00019921807387422125
640,0.00028461417736778104
641,0.0003099145320541644
642,0.0002661129226820124
643,0.0003033968762801546
644,0.0003352593253026433
645,0.00036291492378008925
646,0.0002164157974051879
647,0.00030160452094230196
648,0.00031401769262098415
649,0.0007075507856848875
650,0.0003330670229059309
651,0.0003265938056940166
652,0.0003603226743245172
653,0.00025252953553481477
654,0.000267446079544878
655,0.00029439066102879567
656,0.00032766033118430916
657,0.0003058854357575038
658,0.000320061337065975
659,0.00035836737759231425
660,0.00020578016821032653
661,0.00027428961810758827
662,0.000325912414408552
663,0.0003471984856523066
664,0.00033807376756869295
665,0.00035054619066350254
666,0.00048683926061046586
667,0.0004361644869675399
668,0.0003864969873987791
669,0.00047633694710189106
670,0.00047928470505422726
671,0.00045884296649028754
672,0.0004415859915431935
673,0.0005598962566955026
674,0.0004024059926289757
675,0.0003704991050443915
676,0.00042031473315347074
677,0.0004360459841352852
678,0.0005010299747729689
679,0.00047344844056568215
680,0.0005774643015772653
681,0.0004472741274914202
682,0.00043560159851433
683,0.0005612294135583682
684,0.0005746498593112156
685,0.0006295018577911206
686,0.0006263763455904022
687,0.0006798803743534097
688,0.0005910921272865584
689,0.0007545371586738851
690,0.0008011532103120868
691,0.0007873624432084435
692,0.0006524469686864413
693,0.0002069059451167464
694,1.3583387147197627e-05
695,3.0869987802355346e-05
696,0.000351153517678808
697,0.0004374828309763737
698,0.0006482993695575259
699,0.0006533505527823836
700,0.00032691968848271713
701,4.0853851419815764e-05
702,0.0002441898987148886
703,0.0004339425588627639
704,0.0006056531627998575
705,0.0006171627503825975
706,0.000513828280656479
707,0.0005277375505923772
708,0.0007660467462566251
709,0.00046453110243851423
710,0.00039591796256302963
711,0.0004264620675766845
712,0.0004494219913260371
713,0.00047692946126316467
714,0.00046189441442084667
715,0.0008598861765483339
716,0.0005497938902457875
717,0.0003925702575518337
718,0.0004360015455731897
719,0.0004428006455738044
720,0.0004988080466681929
721,0.0005041406741196554
722,0.0007075359728308556
723,0.000454902747317818
724,0.000441911874331894
725,0.0004264324418686208
726,0.0004579986338104726
727,0.00044361535254555564
728,0.0005026742015705032
729,0.0005973875902500906
730,0.0004088495841328263
731,0.0003595820316229252
732,0.00039057052225753526
733,0.00040400578086441445
734,0.000386600677377002
735,0.00043225389350313407
736,0.00041764841942773946
737,0.0002459674411987095
738,0.0003386366560219029
739,0.00036618856452112596
740,0.00036624781593725336
741,0.0003894299324970835
742,0.00038341591376015637
743,0.0003897113767236885
744,0.00020179551047576146
745,0.0002691791834666033
746,0.00028858402224831423
747,0.00032460888325375
748,0.00031666919349268357
749,0.00021774895426805355
750,0.0003077518553655157
751,0.00015648298999236174
752,0.00023712416734170076
753,0.0002652093385860701
754,0.0002659055427255666
755,0.0002346059821562879
756,0.00024248642050122697
757,0.0002911022074337271
758,0.00015710512986169905
759,0.0002118534383633811
760,0.00022225206189373302
761,0.00021345322659881984
762,0.00026113580372731405
763,0.0002453156756213085
764,0.00027860015863085384
765,0.0001465583777910287
766,0.0002002994122185456
767,0.00021708237583662073
768,0.00022709586516214483
769,0.0002115571812827443
770,0.00021280146102141886
771,0.00029233167431836986
772,0.00015583122441496078
773,0.00025076680590502574
774,0.00021595659893020088
775,0.00020806134773122996
776,0.00021817852703497694
777,0.00021687499588017497
778,0.00028298476342427856
779,0.00014380318694110639
780,0.00017864301962399495
781,0.00017538419173699008
782,6.344345381837234e-05
783,0.00017368071352332842
784,0.00019739609282830488
785,0.00027852609436069463
786,0.00011912497212406032
787,0.00016249700872928894
788,0.00016922204445974447
789,0.00018640495513667932
790,0.00018587169239153307
791,0.00017342889500478715
792,0.0002506038645106755
793,0.00013448590175507878
794,0.00015338710349970712
795,0.00014630655927248742
796,0.0001568681241971896
797,0.00016437824119133268
798,0.00017291044511367272
799,0.00023601320328931274
800,0.00013183440088337936
801,0.00017729504990709747
802,0.0001709551483814698
803,0.00018695303073585742
804,0.00019844780546456555
805,8.170770283963153e-05
806,0.00016740006341382812
807,3.915037320615412e-05
808,5.245231612674678e-05
809,0.0001644967440235874
810,0.0001625562601454163
811,0.00015858641526488308
812,0.00015280940219246535
813,0.0002497595318308606
814,0.00012207273007639656
815,0.00011814732375795886
816,0.00012478348236422335
817,0.0001233021969610393
818,0.0001425589072024318
819,0.0001412109374855343
820,0.00022232612616389223
821,9.09805494635636e-05
822,3.989101590774614e-05
823,9.68168139521087e-05
824,0.00012863482441250184
825,0.0001184583936926275
826,0.00013974446493638211
827,0.0002331691353151994
828,0.00011094827669848443
829,0.00011259250349601872
830,0.00011715486253782554
831,0.00011851764510875486
832,0.00011155560371378988
833,0.0001059119063276587
834,0.00018996004010432102
835,8.456658366777671e-05
836,8.296679543233796e-05
837,8.770690872252688e-05
838,8.82253586136413e-05
839,0.00011959898345307922
840,9.649093116340823e-05
841,0.00016374128846796354
842,6.845019848113438e-05
843,6.856870131338911e-05
844,7.209416057296712e-05
845,4.550508758581364e-05
846,0.00037612798957649087
847,9.415050022637744e-05
848,0.00017040707278229172
849,8.141144575899472e-05
850,0.00011925828781034689
851,0.00012998279412939931
852,0.0001278053045867188
853,3.5402721136098506e-05
854,1.7434729195476126e-05
855,9.586879129407093e-05
856,4.8971295429264286e-05
857,7.175346493023479e-05
858,7.156089782782086e-05
859,8.828461002976865e-05
860,7.720459521395205e-05
861,8.361856100973893e-05
862,0.00017668772289179202
863,8.603305621692892e-05
864,6.344345381837234e-05
865,5.2289374732396535e-05
866,7.37383873705014e-05
867,7.668614532283763e-05
868,7.519004706562176e-05
869,0.00017427322768460204
870,9.825366079319723e-05
871,7.401983159710637e-05
872,7.570849695673617e-05
873,7.779710937522566e-05
874,7.536780131400384e-05
875,8.622562331934285e-05
876,0.00021643061025921977
877,0.00011885834075148719
878,0.0001017643071987434
879,0.00010671180044537809
880,0.00010426767953012441
881,0.00011634015556607433
882,0.00011876946362729616
883,0.0002955756893513429
884,0.0001575347026286224
885,0.00012706466188512676
886,0.0001252130551311467
887,0.00013230841221239826
888,0.0001457140451112138
889,0.0001499357085102883
890,0.0003504869392473752
891,0.00014679538345553815
892,0.00010567490066314925
893,0.00011610314990156488
894,0.00012830894162380136
895,0.00013645601134131357
896,0.0001361449414066449
897,0.00036694402007674985
898,0.00014135906602585273
899,8.880305992088307e-05
900,8.462583508390408e-05
901,0.00012463535382390494
902,0.00012933102855199833
903,0.00017162172681290262
904,0.0003137806869564747
905,0.0001406480490323244
906,0.00015349079347793
907,0.00013685595840017326
908,0.00013604125142842202
909,0.00014390687691932927
910,0.00014353655556853325
911,0.0002406200008932151
912,0.00011312576624116497
913,0.00011496256014111317
914,0.00010432693094625179
915,0.00011065201961784763
916,0.00010389735817932841
917,0.00011151116515169436
918,0.0001872344749624624
919,9.275809194738445e-05
920,9.730563813515944e-05
921,8.699589172899853e-05
922,8.398888236053495e-05
923,9.18989464135377e-05
924,8.252240981138274e-05
925,0.0001510022340005808
926,6.802062571421101e-05
927,0.00013509322877038426
928,7.993016035581068e-05
929,7.813780501795799e-05
930,7.930802048647338e-05
931,7.5352988459972e-05
932,0.00014965426428368333
933,6.0717888676513706e-05
934,8.197433421220465e-05
935,8.418144946294887e-05
936,9.622429979083509e-05
937,0.00010903741852837703
938,8.038935883079774e-05
939,0.00012976060131892172
940,4.983044096311103e-05
941,1.958259303009298e-05
942,9.166194074902825e-05
943,9.176563072725113e-05
944,5.4229858610567626e-05
945,4.7623325712366815e-05
946,0.0001174659324724942
947,4.631979455756486e-05
948,2.547810893476545e-05
949,2.4781904795268953e-05
950,2.115275555746806e-05
951,2.652982157102612e-05
952,3.024784793301805e-05
953,8.901043987732883e-05
954,3.561010109254427e-05
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
